epoch: 1/300, train_loss: 2.0139, train_acc: 0.2701, test_loss: 1.5970, test_acc: 0.2136 
epoch: 2/300, train_loss: 1.9780, train_acc: 0.2850, test_loss: 1.6088, test_acc: 0.2144 
epoch: 3/300, train_loss: 1.9348, train_acc: 0.3029, test_loss: 1.5419, test_acc: 0.2290 
epoch: 4/300, train_loss: 1.9149, train_acc: 0.3159, test_loss: 1.5115, test_acc: 0.2412 
epoch: 5/300, train_loss: 1.9028, train_acc: 0.3213, test_loss: 1.5104, test_acc: 0.2372 
epoch: 6/300, train_loss: 1.8978, train_acc: 0.3231, test_loss: 1.5372, test_acc: 0.2394 
epoch: 7/300, train_loss: 1.8953, train_acc: 0.3233, test_loss: 1.5410, test_acc: 0.2333 
epoch: 8/300, train_loss: 1.8875, train_acc: 0.3278, test_loss: 1.5077, test_acc: 0.2428 
epoch: 9/300, train_loss: 1.8811, train_acc: 0.3333, test_loss: 1.5519, test_acc: 0.2346 
epoch: 10/300, train_loss: 1.8766, train_acc: 0.3334, test_loss: 1.5444, test_acc: 0.2394 
epoch: 11/300, train_loss: 1.8722, train_acc: 0.3355, test_loss: 1.5026, test_acc: 0.2512 
epoch: 12/300, train_loss: 1.8678, train_acc: 0.3387, test_loss: 1.5269, test_acc: 0.2407 
epoch: 13/300, train_loss: 1.8652, train_acc: 0.3391, test_loss: 1.5117, test_acc: 0.2517 
epoch: 14/300, train_loss: 1.8658, train_acc: 0.3410, test_loss: 1.5692, test_acc: 0.2324 
epoch: 15/300, train_loss: 1.8619, train_acc: 0.3413, test_loss: 1.5912, test_acc: 0.2320 
epoch: 16/300, train_loss: 1.8608, train_acc: 0.3432, test_loss: 1.5181, test_acc: 0.2443 
epoch: 17/300, train_loss: 1.8602, train_acc: 0.3440, test_loss: 1.5056, test_acc: 0.2455 
epoch: 18/300, train_loss: 1.8558, train_acc: 0.3454, test_loss: 1.4863, test_acc: 0.2543 
epoch: 19/300, train_loss: 1.8565, train_acc: 0.3457, test_loss: 1.4922, test_acc: 0.2558 
epoch: 20/300, train_loss: 1.8540, train_acc: 0.3456, test_loss: 1.5540, test_acc: 0.2315 
epoch: 21/300, train_loss: 1.8521, train_acc: 0.3508, test_loss: 1.5304, test_acc: 0.2397 
epoch: 22/300, train_loss: 1.8516, train_acc: 0.3487, test_loss: 1.5101, test_acc: 0.2439 
epoch: 23/300, train_loss: 1.8485, train_acc: 0.3473, test_loss: 1.5320, test_acc: 0.2376 
epoch: 24/300, train_loss: 1.8498, train_acc: 0.3494, test_loss: 1.4891, test_acc: 0.2497 
