label,num,weekend,weekday,h1,h2,h3,h4
7,1146,2557,6581,318,13250,19682,1281
3,199,461,1493,223,2142,3621,804
1,3095,18899,45037,115681,106917,92269,133261
3,7300,13374,38119,48540,77193,80460,62868
8,1083,5700,13534,24169,36979,31930,30246
5,502,711,1673,356,1484,1730,1357
4,41,34,77,87,192,160,125
2,323,900,2640,2440,5122,5554,3280
2,3832,15375,38816,1429,71220,83234,42570
6,4,5,8,5,24,16,8
1,88,334,930,989,2436,2596,1510
6,1,0,2,3,0,0,0
3,219,672,1917,2499,3562,3677,2552
4,2623,2180,5394,2333,4221,4159,4190
5,3,1,5,0,6,3,3
1,454,2602,6774,9686,18815,20058,14859
6,331,383,1065,622,1131,1549,827
3,39,51,153,104,253,228,112
2,552,774,2125,1276,2532,2870,2029
1,205,833,2081,3417,5881,5652,4960
6,794,2491,7778,2849,23467,24346,4341
8,1254,3254,12455,1425,32294,30797,2962
7,3734,4865,13101,1935,15786,31201,18227
2,584,2650,6525,14011,13642,14152,15938
2,47,37,100,87,206,234,162
2,2004,4746,12559,10245,21687,24670,19035
1,341,1261,3037,4535,6707,5581,6216
3,1353,3630,12402,1090,23648,27278,4972
8,649,1809,4228,4557,5854,5951,7011
2,376,1224,2934,4326,6249,6451,6502
7,3516,14262,40153,41840,130889,130217,57670
1,386,1071,3748,1821,9688,8393,2871
2,132,381,984,1708,1801,2002,1826
1,752,3730,9166,19893,23141,19864,23092
5,428,948,2499,1105,2339,2437,1422
8,72,266,710,1338,1945,2208,1730
3,900,2666,8171,2795,22243,21182,5669
5,305,438,1177,1114,1639,1714,1345
1,377,1372,3425,5727,8267,8291,6871
6,660,979,2878,78,2312,4849,1583
2,3828,22414,55285,133479,136834,133786,156710
5,430,466,1330,337,1286,1472,709
5,17,15,49,0,68,64,12
6,395,1284,3272,2543,6154,6965,5004
2,26,27,72,65,102,130,110
7,297,455,1139,498,1612,1717,695
7,1869,8441,22181,6404,63527,68443,10675
8,4046,11535,36566,5767,104849,88230,14131
2,1226,4567,13854,10047,35297,29896,14527
6,53,69,135,157,371,423,228
9,1179,3061,8782,9048,20847,22703,13741
4,161,304,974,574,1748,1813,1062
9,422,1402,3520,5342,8298,8857,7515
5,1370,2707,6771,5800,7827,8880,6927
6,1,0,2,0,0,0,3
6,2,2,5,3,12,17,9
9,655,951,2538,2063,4970,5150,3381
2,266,211,718,207,1451,1364,268
2,3976,5167,14366,2382,15575,18990,8720
1,64,82,267,196,456,461,240
1,855,4524,11079,20101,26839,24886,28049
2,996,2386,6514,4106,15054,16997,7266
4,2181,4992,16026,5228,36827,34718,7605
6,40,31,75,100,210,287,201
2,464,876,2365,302,4631,3935,1285
3,774,3333,12647,1100,32994,39976,5083
1,237,714,2058,327,4379,5082,1238
5,120,120,373,72,383,337,144
1,3318,11968,30079,40130,69701,75761,61304
2,365,1622,3995,4655,8767,8692,8130
1,231,1674,3930,7584,10439,10295,11083
1,517,4973,12068,26962,34680,32489,34046
2,846,4129,10322,16769,27418,29305,25189
1,248,671,1792,1635,4387,4383,2821
8,342,2214,5418,10018,12654,12597,14451
7,8612,20420,58008,8583,110885,147983,45785
9,630,1128,3360,2962,9462,7718,3491
3,1550,4030,12624,3139,26170,32462,10490
2,38,61,146,95,90,148,162
1,838,2697,6994,13958,18550,18225,14298
6,264,404,905,755,1072,970,989
2,97,163,582,149,1246,1195,333
2,1061,2498,6266,2887,10259,12165,7209
1,10,8,21,14,27,12,23
2,258,1472,3427,5174,7314,9889,9610
8,686,1147,4116,457,7414,7438,1165
4,1806,3942,10418,9757,19918,18539,13398
5,43,18,86,118,216,223,143
4,2948,4395,14324,5880,28514,25153,8658
5,252,340,777,416,1372,1557,910
8,1127,5894,14210,25536,37952,34922,37383
6,2,0,7,18,18,10,10
5,3,2,13,0,15,10,4
2,707,1570,4123,3160,8213,7366,5406
1,726,3296,7919,11428,15752,15130,17679
9,5062,8074,23218,19164,59327,62598,26480
1,2876,7134,17644,25243,37891,42129,36660
1,392,1573,3737,6109,8139,7997,8930
7,142,740,2082,611,5400,6532,1343
3,230,772,2552,837,6390,6474,1212
6,31,29,71,85,156,193,84
2,894,1602,4047,4696,4284,5132,5938
8,533,1403,3813,3585,10026,9092,4721
3,47,64,170,148,329,399,344
2,393,805,2337,124,3903,4681,1073
2,740,1043,2897,115,4417,4995,1521
1,928,3553,8920,16273,20117,18340,20969
6,14,8,23,21,56,60,53
1,493,1571,3873,7107,8927,8474,9341
6,1,1,1,0,3,11,0
2,2181,3963,14388,682,32919,16855,1759
1,1802,6727,16942,35157,37481,33344,42228
6,12133,20258,50126,37939,62802,108938,78697
4,380,391,1023,439,1658,1849,831
3,274,912,3194,3160,7631,8805,4401
6,1,0,2,1,6,3,4
2,65,180,557,482,1634,1474,693
1,395,4074,9731,20798,29666,30408,27915
6,166,308,754,1144,2228,2437,1515
1,1618,4479,10967,10177,20143,22635,19927
8,21,46,118,130,242,314,204
8,1276,4564,11781,22778,27751,25882,28583
4,70,128,283,195,411,394,295
