label,num,weekend,weekday,h1,h2,h3,h4,ratio,h_0,h_1,h_2,h_3
5,21952,23341,59412,37163,48282,55269,47585,0.39286609966656627,0,0,1,0
1,218,723,1549,1600,3013,3290,3205,0.4667226131302047,0,0,1,0
2,220,445,1243,526,2141,1953,877,0.3579760276727536,0,1,0,0
2,3973,10678,29395,1573,53727,57776,21730,0.3632578218818783,0,0,1,0
1,1526,9482,22898,54948,57191,49493,66672,0.4140954926391273,0,0,0,1
8,1663,5180,13431,21848,27352,28377,30561,0.3856720596228157,0,0,0,1
5,775,1048,2722,961,2520,3214,2373,0.38499687741082256,0,0,1,0
5,933,1972,5050,6022,10726,13189,11295,0.39048731708283,0,0,1,0
5,27,26,85,115,257,288,158,0.3055229142185664,0,0,1,0
1,456,3028,7041,12345,18826,19845,20153,0.43004644160713523,0,0,0,1
4,2752,5516,17276,3512,33995,39224,8209,0.31928502381903323,0,0,1,0
1,1066,7446,18086,44769,53281,50486,53936,0.4116973808615456,0,0,0,1
1,1055,6936,16405,32615,42277,39289,45185,0.422795350226454,0,0,0,1
7,875,2632,6405,1074,10644,18970,3484,0.41092254609607964,0,0,1,0
1,844,4057,9676,18471,22432,22105,25272,0.41928049524085115,0,0,0,1
2,450,2647,6440,13596,17719,16987,19164,0.4110184624462353,0,0,0,1
6,2,4,4,1,2,1,10,0.9756097560975611,0,0,0,1
1,206,1389,3348,8207,7879,8024,9469,0.41486216062841613,0,0,0,1
2,2525,4180,11123,4214,19688,14878,8075,0.3757945177153851,0,1,0,0
6,2,2,2,1,1,2,2,0.9523809523809523,0,0,1,0
2,25,33,80,69,121,114,103,0.41198501872659177,0,1,0,0
1,394,2274,5615,10938,13098,11323,13744,0.4049794304642838,0,0,0,1
6,26,27,48,67,129,136,95,0.5613305613305614,0,0,1,0
8,2562,4953,15101,5650,35438,43819,13764,0.3279893517690764,0,0,1,0
5,8,12,25,6,63,66,14,0.4780876494023904,0,0,1,0
8,34,31,131,25,200,286,55,0.2364607170099161,0,0,1,0
6,4,3,5,1,16,5,4,0.5882352941176471,0,1,0,0
1,1227,8650,20107,30807,50952,52875,53424,0.4301962988198199,0,0,0,1
7,7619,12915,35564,3692,52037,77454,28270,0.3631471062110387,0,0,1,0
7,5329,11968,36616,8593,61427,99014,40983,0.3268507569074806,0,0,1,0
3,343,1311,4745,676,12158,12774,1437,0.2762850097995827,0,0,1,0
4,641,736,2023,624,2013,2677,1656,0.36379813158024815,0,0,1,0
6,737,1321,3278,1790,5161,7109,4252,0.4029773344315305,0,0,1,0
3,363,999,3686,214,10294,10812,777,0.2710181492634492,0,0,1,0
4,5629,4769,10440,2054,6620,9507,5898,0.4567963908391682,0,0,1,0
1,3386,9297,22983,36052,42897,47364,51608,0.4045146216132724,0,0,0,1
6,28,39,94,84,187,226,186,0.4144527098831031,0,0,1,0
6,3,3,9,10,21,18,13,0.32967032967032966,0,1,0,0
9,6492,11667,30566,28950,62230,67562,43350,0.3816973706164673,0,0,1,0
1,273,1298,3127,6557,9314,9120,7965,0.4150810655239679,0,1,0,0
3,993,4624,12002,17276,23997,30288,26536,0.3852659117987685,0,0,1,0
6,2256,4977,12647,14867,24964,27219,25330,0.3935289513010888,0,0,1,0
2,504,1855,7328,837,23618,20291,1410,0.2531351919324245,0,1,0,0
7,10487,18006,46384,46623,40799,73522,79519,0.38819336798601245,0,0,0,1
2,393,1791,4838,8242,10555,12367,10907,0.37018664351708314,0,0,1,0
5,11,22,54,224,292,208,126,0.4066543438077634,0,1,0,0
1,129,455,1128,2783,3372,3204,3452,0.40333303785125435,0,0,0,1
9,12439,21521,63835,35456,173008,154766,49474,0.33713427252405026,0,1,0,0
2,914,4717,11961,25913,32503,30209,31702,0.3943617225840433,0,1,0,0
1,549,4385,10451,20821,25507,24175,30127,0.4195730592951938,0,0,0,1
1,1342,7082,16739,38228,40253,35425,46695,0.4230812887192263,0,0,0,1
1,4,55,137,67,498,462,266,0.4011670313639679,0,1,0,0
3,559,3602,9013,22614,24925,23928,24519,0.39964052323839744,0,1,0,0
5,16,10,28,25,31,23,20,0.3558718861209964,0,1,0,0
6,67,69,169,61,198,225,104,0.4080425783560024,0,0,1,0
